Producto,Cantidad,Unidad de medida,Tipo de lista de materiales,Componente,Cantidad de componente,Unidad de medida del componente
[AZHC] AZHC,1000,g,Fabricar este producto,[MPAQ001] AQUA,477.7,g
,,,,[MPCAR084] CARBOMER,2.0,g
,,,,[MPXAG126] XANTHAN GUM,1.0,g
,,,,[MPEDT008] EDTA DISODICO,0.5,g
,,,,[MPTEA070] TRIETHANOLAMINE,12.5,g
,,,,[MPPRG256] PROPYLENE GLYCOL,200.0,g
,,,,[MPCSA006] CAPRYLOYL SALICYLIC ACID,5.0,g
,,,,[MPAAZ096] AZELAIC ACID,60.0,g
,,,,[MPSHI076] SODIUM HYDROXIDE,9.5,g
,,,,[MPPAD024] POTASSIUM AZELOYL DIGLYCINATE,50.0,g
,,,,[MPSDI227] STEARAMIDOPROPYL DIMETHYLAMINE,40.0,g
,,,,[MPNIA156] NIACINAMIDE,50.0,g
,,,,[MPACT018] ACIDO TRAXENAMICO,30.0,g
,,,,[MPSAP118] SODIUM ASCORBYL PHOSPHATE,20.0,g
,,,,[MPZIN228] ZINC PCA,5.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,0.5,g
,,,,[MPAH3122] HYALURONIC ACID 300KD,0.5,g
,,,,[MPPAT131] PANTENOL POLVO,0.5,g
,,,,[MPECT148] ECTOIN,1.0,g
,,,,[MPBET103] BETAINE,0.5,g
,,,,[MPTRI145] CENTELLA ASIATICA EXTRACT TRITERPENOS 80%,0.5,g
,,,,[MPSOP016] SODIUM PHYTATE,0.3,g
,,,,[MPA40272] Acetyl Tetrapeptide-40 (,0.03,g
,,,,[MPHEX046] HEXANEDIOL,5.0,g
,,,,⚠️ CREAR EN ODOO: TOCOPHERYL ACETATE,8.0,g
,,,,⚠️ CREAR EN ODOO: DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,10.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
[CCAFE] CCAFE,1000,g,Fabricar este producto,[MPAQ001] AQUA,825.7,g
,,,,[MPPRG256] PROPYLENE GLYCOL,50.0,g
,,,,[MPACT018] ACIDO TRAXENAMICO,30.0,g
,,,,[MPGLE263] GLYCERIN,30.0,g
,,,,[MPCAF082] CAFFEINE,15.0,g
,,,,[MPGLT091] GLUCONOLACTONE,10.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPALL097] ALLANTOIN,5.0,g
,,,,⚠️ CREAR EN ODOO: TOCOPHERYL ACETATE,5.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,3.0,g
,,,,[MPDIM075] DIMETHICONE,3.0,g
,,,,[MPPSO013] POTASSIUM SORBATE,3.0,g
,,,,[MPALA063] LACTIC ACID,3.0,g
,,,,[MPSBE101] SODIUM BENZOATE,3.0,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,2.0,g
,,,,[MPADE270] ADENOSINA,1.0,g
,,,,[MPAB2100] ALOE BARBADENSIS LEAF JUICE,0.5,g
,,,,[MPCAE143] CENTELLA ASIATICA EXTRACT,0.5,g
,,,,[MPAT5274] ACETYL TETRAPEPTIDE-5,0.3,g
[CMULP] CMULP,1000,g,Fabricar este producto,[MPAQ001] AQUA,785.1,g
,,,,[MPPRG256] PROPYLENE GLYCOL,50.0,g
,,,,[MPNIA156] NIACINAMIDE,50.0,g
,,,,[MPGLE263] GLYCERIN,30.0,g
,,,,[MPDIM075] DIMETHICONE,15.0,g
,,,,[MPNAG088] N-ACETYL GLUCOSAMINE,10.0,g
,,,,[MPGLT091] GLUCONOLACTONE,10.0,g
,,,,[MPPHT250] PHENOXYETHANOL,10.0,g
,,,,[MPTEA070] TRIETHANOLAMINE,10.0,g
,,,,[MPCAF082] CAFFEINE,5.0,g
,,,,[MPAGL003] ASCORBIL GLUCOSIDE,5.0,g
,,,,⚠️ CREAR EN ODOO: TOCOPHERYL ACETATE,5.0,g
,,,,[MPAH1124] HYALURONIC ACID 1500KD,3.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,3.0,g
,,,,[MPAH3122] HYALURONIC ACID 300KD,3.0,g
,,,,[MPAAC120] ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,2.0,g
,,,,[MPHCO104] HYDROLYZED COLLAGEN,1.0,g
,,,,[MPPAT131] PANTENOL POLVO,1.0,g
,,,,[MPADE270] ADENOSINA,0.5,g
,,,,[MPGLN090] GLYCINE,0.5,g
,,,,[MPPT1269] PALMITOYL TRIPEPTIDO-1,0.15,g
,,,,[MPAT5274] ACETYL TETRAPEPTIDE-5,0.15,g
,,,,[MPAH8267] ACETYL HEXAPEPTIDO-8,0.15,g
,,,,[MPPT5266] PALMITOYL TRIPEPTIDO -5,0.15,g
,,,,[MPPT7268] PALMITOYL TETRAPEPTIDO-7,0.1,g
,,,,[MPCTP273] COPPER TRIPEPTIDO,0.1,g
,,,,[MPCAE143] CENTELLA ASIATICA EXTRACT,0.1,g
[CRETT] CRETT,1000,g,Fabricar este producto,[MPAQ001] AQUA,716.25,g
,,,,[MPACT018] ACIDO TRAXENAMICO,50.0,g
,,,,[MPGLE263] GLYCERIN,50.0,g
,,,,[MPPRG256] PROPYLENE GLYCOL,50.0,g
,,,,[MPNIA156] NIACINAMIDE,30.0,g
,,,,[MPDIM075] DIMETHICONE,20.0,g
,,,,[MPACE098] CETYL ALCOHOL,15.0,g
,,,,[MPSQU054] SQUALENE,15.0,g
,,,,[MPNAG088] N-ACETYL GLUCOSAMINE,15.0,g
,,,,[MPBET103] BETAINE,10.0,g
,,,,[MPGLT091] GLUCONOLACTONE,5.0,g
,,,,[MPAH5123] HYALURONIC ACID 50KD,5.0,g
,,,,[MPALL097] ALLANTOIN,5.0,g
,,,,⚠️ CREAR EN ODOO: TOCOPHERYL ACETATE,5.0,g
,,,,[MPAAC120] ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,4.0,g
,,,,[MPLTH154] L-THEANINA,1.0,g
,,,,[MPBEG102] BETA-GLUCAN,0.5,g
