"id","product_uom_id","id"
"__export__.mrp_bom_606_7c3a8139","Unidades","__export__.mrp_bom_606_7c3a8139"
"__export__.mrp_bom_607_acc7f620","Unidades","__export__.mrp_bom_607_acc7f620"
"__export__.mrp_bom_608_d58a1dc3","Unidades","__export__.mrp_bom_608_d58a1dc3"
"__export__.mrp_bom_609_3493c538","Unidades","__export__.mrp_bom_609_3493c538"
"__export__.mrp_bom_610_597968da","Unidades","__export__.mrp_bom_610_597968da"
"__export__.mrp_bom_611_58ac6b4d","Unidades","__export__.mrp_bom_611_58ac6b4d"
"__export__.mrp_bom_612_be98bdc1","Unidades","__export__.mrp_bom_612_be98bdc1"
"__export__.mrp_bom_613_7f4e565b","Unidades","__export__.mrp_bom_613_7f4e565b"
"__export__.mrp_bom_614_c54d1349","Unidades","__export__.mrp_bom_614_c54d1349"
"__export__.mrp_bom_615_625fd6d6","Unidades","__export__.mrp_bom_615_625fd6d6"
"__export__.mrp_bom_616_4b0d58ef","Unidades","__export__.mrp_bom_616_4b0d58ef"
"__export__.mrp_bom_617_44775012","Unidades","__export__.mrp_bom_617_44775012"
"__export__.mrp_bom_618_679f7b8a","Unidades","__export__.mrp_bom_618_679f7b8a"
"__export__.mrp_bom_619_06bb89ed","Unidades","__export__.mrp_bom_619_06bb89ed"
"__export__.mrp_bom_620_40185d15","Unidades","__export__.mrp_bom_620_40185d15"
"__export__.mrp_bom_621_7795cfdc","Unidades","__export__.mrp_bom_621_7795cfdc"
"__export__.mrp_bom_622_e7da3c47","Unidades","__export__.mrp_bom_622_e7da3c47"
"__export__.mrp_bom_623_d8b57962","Unidades","__export__.mrp_bom_623_d8b57962"
"__export__.mrp_bom_624_89370c55","Unidades","__export__.mrp_bom_624_89370c55"
"__export__.mrp_bom_625_7921839d","Unidades","__export__.mrp_bom_625_7921839d"
"__export__.mrp_bom_626_69be4d0a","Unidades","__export__.mrp_bom_626_69be4d0a"
"__export__.mrp_bom_627_77cfe719","Unidades","__export__.mrp_bom_627_77cfe719"
"__export__.mrp_bom_628_f53f4c88","Unidades","__export__.mrp_bom_628_f53f4c88"
"__export__.mrp_bom_629_26d64f51","Unidades","__export__.mrp_bom_629_26d64f51"
"__export__.mrp_bom_630_c1522186","Unidades","__export__.mrp_bom_630_c1522186"
