Producto,Proveedor,Precio,Moneda,Cantidad minima,Plazo de entrega
[MPHEX046] HEXANEDIOL,Lyphar,176400,COP,1,30
[MPEAA112] 3-O-ETHYL ASCORBIC ACID,Lyphar,462000,COP,1,30
[MPASK020] ARGANIA SPINOSA KERNEL OIL,Agenquimicos,213806,COP,1,30
SIMMONDSIA CHINENSIS SEED OIL,Agenquimicos,189783,COP,1,30
MELALEUCA ALTERNIFOLIA LEAF OIL,Agenquimicos,191000,COP,1,30
[MPAH8267] ACETYL HEXAPEPTIDO-8,Lyphar,273000000,COP,1,30
[MPAT3275] ACETYL TETRAPEPTIDE-3,Lyphar,369600000,COP,1,30
[MPA40272] Acetyl Tetrapeptide-40 (,Lyphar,327600000,COP,1,30
[MPAT5274] ACETYL TETRAPEPTIDE-5,Lyphar,386400000,COP,1,30
[MPACC093] CITRIC ACID,Agenquimicos,8000,COP,1,30
FERULIC ACID,Agenquimicos,310100,COP,1,30
[MPACL001] ACIDO LACTOBIONICO,Agenquimicos,19000,COP,1,30
[MPASA094] SALICYLIC ACID,Agenquimicos,51170,COP,1,30
[MPADE270] ADENOSINA,Lyphar,210000000,COP,1,30
AQUA,Agenquimicos,1500,COP,1,30
[MPALL097] ALLANTOIN,Lyphar,37800,COP,1,30
[MPAET061] ALCOHOL ETILICO,Agenquimicos,27000,COP,1,30
[MPALP121] ALPHA-ARBUTIN,Lyphar,348600,COP,1,30
[MPC14259] SODIUM C14-16 OLEFIN SULFONATE,Agenquimicos,22000,COP,1,30
[MPAPI139] APIGENIN,Lyphar,7770000,COP,1,30
[MPASC109] ASCORBIC ACID,Lyphar,96600,COP,1,30
[MPAGL003] ASCORBIL GLUCOSIDE,Lyphar,886200,COP,1,30
ASIATICOSIDE,Lyphar,6300000,COP,1,30
[MPAAZ096] AZELAIC ACID,Lyphar,100800,COP,1,30
[MPBAK284] BAKUCHIOL,Lyphar,4620000,COP,1,30
[MPBCH219] BEHENTRIMONIUM CHLORIDE,Lyphar,105000,COP,1,30
[MPSBE101] SODIUM BENZOATE,Agenquimicos,38400,COP,1,30
[MPBEG102] BETA-GLUCAN,Agenquimicos,248000,COP,1,30
[MPBET103] BETAINE,Lyphar,399000,COP,1,30
Biosure FE,Agenquimicos,538880,COP,1,30
[MPBT1285] BIOTYNOIL TRIPEPTIDO-1,Lyphar,399000000,COP,1,30
BIS-AMINOPROPYL DIGLYCOL DIMALEATE,Lyphar,285600,COP,1,30
[MPBISA] BISABOLOL,Lyphar,714000,COP,1,30
[nan] BORON NITRIDE,Lyphar,193200,COP,1,30
BUTYLENE GLYCOL,Lyphar,37800,COP,1,30
C13-15 ALKANE,Lyphar,37800,COP,1,30
[MPCAF082] CAFFEINE,Agenquimicos,190400,COP,1,30
[MPCSL161] CAMELLIA SINENSIS LEAF WATER,Lyphar,63000,COP,1,30
[MPCSA006] CAPRYLOYL SALICYLIC ACID,Lyphar,546000,COP,1,30
[MPPAC245] PHENETHYL ALCOHOL (AND) CAPRYLYL GLYCOL,Lyphar,218400,COP,1,30
CAPRYLYL GLYCOL,Lyphar,162120,COP,1,30
[MPCCG208] CAPRYLYL/CAPRYL GLUCOSIDE,Lyphar,42000,COP,1,30
[MPCAR084] CARBOMER,Lyphar,84000,COP,1,30
[MPCCC237] COPERNICIA CERIFERA CERA,Lyphar,12600,COP,1,30
[MPCAE143] CENTELLA ASIATICA EXTRACT,Lyphar,5460000,COP,1,30
[MPCEN176] CERAMIDE NP,Agenquimicos,48000,COP,1,30
[MPCER232] CERESIN,Lyphar,12600,COP,1,30
[MPDIC261] DICAPRYLYL CARBONATE,Agenquimicos,92000,COP,1,30
ANTHEMIS NOBILIS FLOWER WATER,Lyphar,35700,COP,1,30
CITRUS AURANTIUM AMARA FLOWER WATER,Lyphar,54600,COP,1,30
[MPCCA065] COCO-CAPRYLATE/CAPRATE,Lyphar,117600,COP,1,30
[MPHCO104] HYDROLYZED COLLAGEN,Lyphar,126000,COP,1,30
[MPCTP273] COPPER TRIPEPTIDO,Lyphar,50400000,COP,1,30
[MPCYC111] CYCLODEXTRIN,Lyphar,126000,COP,1,30
[MPDGL254] DECYL GLUCOSIDE,Lyphar,14700,COP,1,30
[MPDIM252] DIISOSTEARYL MALATE,Lyphar,147000,COP,1,30
