ID    | CÓDIGO     | NOMBRE
================================================================================
    1 | MPMP00001 | 1,2 HEXANEDIOL
    2 | MPMP00002 | 3-O ACIDO ETIL ASCORBICO
    3 | MPMP00003 | ACEITE ARBOL DE TE
    4 | MPMP00004 | ACEITE DE ARGAN
    5 | MPMP00005 | ACEITE DE JOJOBA
    6 | MPMP00006 | ACEITE DE ROSA MOSQUETA
    7 | MPMP00007 | ACEITE JOJOBA
    8 | MPMP00008 | ACETYL HEXAPEPTIDE 8
    9 | MPMP00009 | ACETYL HEXAPEPTIDE-8
   10 | MPMP00010 | ACETYL HEXAPEPTIDO-8
   11 | MPMP00011 | ACETYL TETRAPEPTIDE 5
   12 | MPMP00012 | ACETYL TETRAPEPTIDE-3
   13 | MPMP00013 | ACETYL TETRAPEPTIDE-40
   14 | MPMP00014 | ACETYL TETRAPEPTIDE-40 (SALICYLIC ACID)
   15 | MPMP00015 | ACETYL TETRAPEPTIDE-5
   16 | MPMP00016 | ACETYL TETRAPETIDE-5
   17 | MPMP00017 | ACIDO ASCORBICO
   18 | MPMP00018 | ACIDO AZELAICO
   19 | MPMP00019 | ACIDO CAPRILOIL SALICILICO
   20 | MPMP00020 | ACIDO CITRICO
   21 | MPMP00021 | ACIDO GLUTAMICO
   22 | MPMP00022 | ACIDO HIALURONICO 1500 KD
   23 | MPMP00023 | ACIDO HIALURONICO 1500 KD (LYPHAR)
   24 | MPMP00024 | ACIDO HIALURONICO 1500KD
   25 | MPMP00025 | ACIDO HIALURONICO 300 KD
   26 | MPMP00026 | ACIDO HIALURONICO 300 KD (LYPHAR)
   27 | MPMP00027 | ACIDO HIALURONICO 300KD
   28 | MPMP00028 | ACIDO HIALURONICO 50 KD
   29 | MPMP00029 | ACIDO HIALURONICO 50 KD (LYPHAR)
   30 | MPMP00030 | ACIDO HIALURONICO 50KD
   31 | MPMP00031 | ACIDO HIALURÓNICO 1500 KD
   32 | MPMP00032 | ACIDO HIALURÓNICO 300 KD
   33 | MPMP00033 | ACIDO HIALURÓNICO 50 KD
   34 | MPMP00034 | ACIDO HILAURONICO 50 KD
   35 | MPMP00035 | ACIDO KOJICO
   36 | MPMP00036 | ACIDO LACTICO
   37 | MPMP00037 | ACIDO SALICILICO
   38 | MPMP00038 | ACIDO TRANEXAMICO
   39 | MPMP00039 | ADENOSINA
   40 | MPMP00040 | ADIPATO DE BUTIL
   41 | MPMP00041 | AGUA DESIONIZADA
   42 | MPMP00042 | ALANTOINA
   43 | MPMP00043 | ALANTOÍNA
   44 | MPMP00044 | ALCOHOL CETILICO
   45 | MPMP00045 | ALCOHOL CETITLICO
   46 | MPMP00046 | ALFA  ARBUTINA
   47 | MPMP00047 | ALFA ARBUTINA
   48 | MPMP00048 | ALFA ARBUTINA  (LYPHAR)
   49 | MPMP00049 | ALFA OLEFIN SULFONATO DE SODIO
   50 | MPMP00050 | ALOE VERA
   51 | MPMP00051 | ANEMARRHENA ASPHODELOIDES ROOT EXTRACT
   52 | MPMP00052 | AOS 40
   53 | MPMP00053 | ARGANIA SPINOSA KERNEL OIL
   54 | MPMP00054 | ASCORBATO DE TETRAHEXILDECILO
   55 | MPMP00055 | ASCORBIC GLUCOSIDE
   56 | MPMP00056 | ASCORBIL GLUCOSIDE
   57 | MPMP00057 | ASCORBYL GLUCOSIDE
   58 | MPMP00058 | ASIATICOSIDO
   59 | MPMP00059 | ASTAXANTINA
   60 | MPMP00060 | AZELOLIL DIGLICINATO DE POTASIO
