CODIGO    | NOMBRE MATERIAL
================================================================================
MPMP00001 | 1,2 HEXANEDIOL
MPMP00213 | 4-BUTYL RESORCINOL
MPMP00214 | ACEITE DE COCO
MPMP00215 | ACEITE DE NEROLI
MPMP00216 | ACEITE ECNCIAL DE MANZANILLA
MPMP00217 | ACEITE ESCENCIAL DE ARBOL DE TE
MPMP00218 | ACEITE ESENCIAL DE GERANEO
MPMP00219 | ACEITE ESENCIAL DE INCIENSO
MPMP00220 | ACEITE ESENCIAL DE JAZMIN
MPMP00221 | ACEITE ESENCIAL DE LAVANDA
MPMP00222 | ACEITE ESENCIAL DE ROMERO
MPMP00223 | ACEITE ESENCIAL DE VAINILLA
MPMP00224 | ACETIL ZINGERONE
MPMP00010 | ACETYL HEXAPEPTIDO-8
MPMP00012 | ACETYL TETRAPEPTIDE-3
MPMP00014 | ACETYL TETRAPEPTIDE-40 (SALICYLIC ACID)
MPMP00015 | ACETYL TETRAPEPTIDE-5
MPMP00018 | ACIDO AZELAICO
MPMP00020 | ACIDO CITRICO
MPMP00225 | ACIDO ESTEARICO
MPMP00226 | ACIDO GLICOLICO
MPMP00021 | ACIDO GLUTAMICO
MPMP00227 | ACIDO HIALURONICO 1500
MPMP00025 | ACIDO HIALURONICO 300 KD
MPMP00028 | ACIDO HIALURONICO 50 KD
MPMP00035 | ACIDO KOJICO
MPMP00036 | ACIDO LACTICO
MPMP00228 | ACIDO LACTOBIONICO
MPMP00229 | ACIDO MADECASICO
MPMP00037 | ACIDO SALICILICO
MPMP00230 | ACIDO SUCCINICO
MPMP00231 | ACIDO TRAXENAMICO
MPMP00039 | ADENOSINA
MPMP00232 | ADN VEGETAL (PDRN)
MPMP00233 | AEROSIL
MPMP00042 | ALANTOINA
MPMP00044 | ALCOHOL CETILICO
MPMP00234 | ALCOHOL ETILICO 95-96%
MPMP00235 | ALCOHOL ISOPROPILICO
MPMP00050 | ALOE VERA
MPMP00236 | ALOE VERA 200X
MPMP00237 | ALPHA ARBUTINA
MPMP00238 | ANEMARRHENA ROOT EXTRACT
MPMP00239 | ANTARON SOJA GLYCERIDE
MPMP00240 | ANTIOXIDANTE BHT
MPMP00241 | APIGENIN
MPMP00056 | ASCORBIL GLUCOSIDE
MPMP00242 | ASCORBYL PALMITATE
MPMP00243 | ASIATICOSIDE 95%
MPMP00059 | ASTAXANTINA
MPMP00244 | AZECLAIR
MPMP00062 | BAKUCHIOL
MPMP00245 | BAUTY SENSOF (PROPYL HEPTHYL CAPRYLATE)
MPMP00246 | BAUTYTERGE (AOS-40)
MPMP00247 | BEAUTY OIL ACAI
MPMP00248 | BEAUTY OIL ARGAN
MPMP00249 | BEAUTY OIL BAOBAB
MPMP00250 | BEAUTY OIL BURITI
MPMP00251 | BEAUTY OIL CACAO
MPMP00252 | BEAUTY OIL CAFÉ
MPMP00253 | BEAUTY OIL CAMELIA
MPMP00254 | BEAUTY OIL CENTELLA ASIATICA
MPMP00255 | BEAUTY OIL CERAMIDAS
MPMP00256 | BEAUTY OIL CHONTADURO
MPMP00257 | BEAUTY OIL COPAIBA
MPMP00258 | BEAUTY OIL JOJOBA
MPMP00259 | BEAUTY OIL KAKAI
MPMP00260 | BEAUTY OIL MARACUYA
MPMP00261 | BEAUTY OIL PEPITA DE UVA
MPMP00262 | BEAUTY OIL ROSA MOSQUETA
MPMP00263 | BEAUTY OIL ZANAHORIA
MPMP00264 | BEAUTY PROPANEDIOL
MPMP00265 | BEAUYTY OIL ARNICA
MPMP00266 | BEHENTRIMONIUM CHLORIDE
MPMP00267 | BENJUI TINTURA
MPMP00063 | BENZOATO DE SODIO
MPMP00268 | BENZYL NICOTINATE
MPMP00066 | BETAGLUCAN
MPMP00067 | BETAINA
MPMP00068 | BETAINE SALICYLATE
MPMP00069 | BICARBONATO DE SODIO
MPMP00269 | BIOSURE
MPMP00072 | BIOTYNOIL TRIPEPTIDO-1
MPMP00270 | BIS-AMINOPROPYL DICLYCOL DIMALATE
MPMP00271 | BIS-DIGLYCERYL POLYACYLADIPATE-2
MPMP00272 | BIS-ETHYLOXYPHENOL METHOXYPHENYL TRIAZINE
MPMP00073 | BISABOLOL
MPMP00273 | BLOSURE FE
MPMP00274 | BM 96-350 DIMETHICONA
MPMP00275 | BM-939 PEG-12 DIMETHICONE
MPMP00276 | BM-945 CYCLOPENTASILOXANO
MPMP00277 | BM-956 PHENYL TRIMETHICONE
MPMP00278 | BM600 CYCLOPENTASILOXANO AND DIMETHICONE CROSSPOLYMER
MPMP00279 | BPD-500W
MPMP00280 | BRO- IIS2
MPMP00281 | BTD-IIS2
MPMP00282 | BUTYLENEGLICOL
MPMP00283 | BY0-IIS2
MPMP00284 | C13-C15 ALKANE
MPMP00285 | CAFEINA ANHIDRA
MPMP00286 | CAMELLIA SINENSIS LEAF WATER
MPMP00287 | CANDELILLA WAX
MPMP00075 | CAPRYLOYL SALICYLIC ACID
MPMP00288 | CAPRYLYL/CAPRYL GLUCOSIDE
MPMP00076 | CARBOPOL
MPMP00289 | CARNAUBA WAX
MPMP00290 | CELLULOSE
MPMP00291 | CENTELLA ASIATICA EXTRACT
MPMP00292 | CERA CARNAUVA
MPMP00293 | CERA DE AVEJAS
MPMP00294 | CERA DE CANDELILLA
MPMP00295 | CERA DE COCO
MPMP00296 | CERA DE SOJA
MPMP00297 | CERESINE WAX
MPMP00298 | CETIOL
MPMP00299 | CETIOL HE
MPMP00300 | CETYL TRANEXAMATE
MPMP00079 | CHITOSAN
MPMP00301 | CHOLESTEROL VEGETAL
MPMP00302 | CHROMIUM OXIDE GREEN 77288
MPMP00303 | CICLODEXTRINA
MPMP00304 | CITRUS AURANTIUM AMARA WATER
MPMP00305 | COCO CAPRYLATE
MPMP00306 | COCO GLUCOSIDO DECYL GLUCOSIDO
MPMP00307 | COCOAMIDA
MPMP00083 | COPPER TRIPEPTIDO
